date,merchant,description,amount,category,is_anomaly
2025-08-10,ICLOUDST BANGLR,ICLOUDST BANGLR PURCHASE,371.31,Subscriptions,0
2025-08-10,FLIPKART,FLIPKART PURCHASE,1380.3,Shopping,0
2025-08-12,UBER,UBER PURCHASE,428.56,Transport,0
2025-08-13,UBER #8280,UBER #8280 PURCHASE,390.59,Transport,0
2025-08-14,EMPLOYER PUNE MH,EMPLOYER PUNE MH PURCHASE,36785.97,Income,0
2025-08-14,CKCD INDIANOIL,CKCD INDIANOIL PURCHASE,1.0,Transport,0
2025-08-14,NET228,NET228 PURCHASE,144.97,Entertainment,0
2025-08-17,RELIANCE FRESH #4372,RELIANCE FRESH #4372 PURCHASE,903.64,Groceries,0
2025-08-18,INDIANOI MUMBAI,INDIANOI MUMBAI PURCHASE,437.58,Transport,0
2025-08-19,TST* FLIPKART,TST* FLIPKART PURCHASE,556.34,Shopping,0
2025-08-19,IRCTC,IRCTC PURCHASE,47.88,Transport,0
2025-08-19,ZOMATO BANGLR,ZOMATO BANGLR PURCHASE,524.51,Dining,0
2025-08-19,SPOTIFY,SPOTIFY PURCHASE,566.39,Entertainment,0
2025-08-20,SWIGGY #4642,SWIGGY #4642 PURCHASE,580.87,Dining,0
2025-08-20,POS DEBIT BIGBASKET,POS DEBIT BIGBASKET PURCHASE,287.77,Groceries,0
2025-08-21,MED771,MED771 PURCHASE,1156.8,Healthcare,0
2025-08-21,ADOBE #5484,ADOBE #5484 PURCHASE,289.33,Subscriptions,0
2025-08-22,INDIANOIL,INDIANOIL PURCHASE,309.1,Transport,0
2025-08-22,SQ *DMART,SQ *DMART PURCHASE,662.76,Groceries,0
2025-08-24,MYNTRA #9792,MYNTRA #9792 PURCHASE,1.0,Shopping,0
2025-08-24,CULT.F SC,CULT.F SC PURCHASE,218.36,Subscriptions,0
2025-08-26,MAXHEALTHCARE,MAXHEALTHCARE PURCHASE,510.15,Healthcare,0
2025-08-26,NATURESBASKET,NATURESBASKET PURCHASE,833.98,Groceries,0
2025-08-26,ZOMATO,ZOMATO PURCHASE,254.52,Dining,0
2025-08-26,POS DEBIT BOOKMYSHOW,POS DEBIT BOOKMYSHOW PURCHASE,298.56,Entertainment,0
2025-08-27,FLIPKART DELHI NCR,FLIPKART DELHI NCR PURCHASE,1968.5,Shopping,0
2025-08-27,CULT.FIT MEMBERSHIP,CULT.FIT MEMBERSHIP PURCHASE,140.77,Subscriptions,0
2025-09-01,EMPLOYERPAYROLL,EMPLOYERPAYROLL PURCHASE,36424.33,Income,0
2025-09-01,LAKEVIEWRESIDENCY,LAKEVIEWRESIDENCY PURCHASE,17685.72,Rent,0
2025-09-01,SQ *AIRTELBROA,SQ *AIRTELBROA PURCHASE,1676.01,Utilities,0
2025-09-03,IRCTC,IRCTC PURCHASE,805.13,Transport,0
2025-09-03,NETFLIX,NETFLIX PURCHASE,551.23,Entertainment,0
2025-09-04,BIGBASKET,BIGBASKET PURCHASE,519.2,Groceries,0
2025-09-04,BOO265,BOO265 PURCHASE,1.0,Entertainment,0
2025-09-05,AMA174,AMA174 PURCHASE,1.0,Shopping,0
2025-09-06,INDIANOIL,INDIANOIL PURCHASE,537.97,Transport,0
2025-09-08,SPOTIFY #8601,SPOTIFY #8601 PURCHASE,469.43,Entertainment,0
2025-09-10,INDIANOI PUNE MH,INDIANOI PUNE MH PURCHASE,1.0,Transport,0
2025-09-10,INDIAN SC,INDIAN SC PURCHASE,282.71,Transport,0
2025-09-11,CKCD BSESELECTR,CKCD BSESELECTR PURCHASE,920.79,Utilities,0
2025-09-12,IRCTC,IRCTC PURCHASE,579.4,Transport,0
2025-09-12,BIGBAS SC,BIGBAS SC PURCHASE,743.55,Groceries,0
2025-09-13,ICLOUDST PUNE MH,ICLOUDST PUNE MH PURCHASE,2254.55,Subscriptions,1
2025-09-14,EMPLOYER PAYROLL #1027,EMPLOYER PAYROLL #1027 PURCHASE,32772.65,Income,0
2025-09-15,SQ *RELIANCEFR,SQ *RELIANCEFR PURCHASE,680.05,Groceries,0
2025-09-15,SWIGGY,SWIGGY PURCHASE,213.53,Dining,0
2025-09-16,DOM210,DOM210 PURCHASE,349.09,Dining,0
2025-09-16,MUNICIPAL WATER BOARD #9830,MUNICIPAL WATER BOARD #9830 PURCHASE,1289.68,Utilities,0
2025-09-18,IRCTC,IRCTC PURCHASE,531.73,Transport,0
2025-09-19,SWIGGY,SWIGGY PURCHASE,664.01,Dining,0
2025-09-20,FLIPKART BANGLR,FLIPKART BANGLR PURCHASE,1094.28,Shopping,0
2025-09-20,OLA,OLA PURCHASE,901.39,Transport,0
2025-09-20,FLIPKART #426,FLIPKART #426 PURCHASE,1007.56,Shopping,0
2025-09-22,BSES ELECTRICITY,BSES ELECTRICITY PURCHASE,620.48,Utilities,0
2025-09-22,LIFESTYLE #9701,LIFESTYLE #9701 PURCHASE,869.75,Shopping,0
2025-09-24,CAFE COFFEE DAY,CAFE COFFEE DAY PURCHASE,289.54,Dining,0
2025-09-24,APOLLO SC,APOLLO SC PURCHASE,642.15,Healthcare,0
2025-09-24,POS DEBIT SWIGGY,POS DEBIT SWIGGY PURCHASE,1.0,Dining,0
2025-09-24,ADOBE SC,ADOBE SC PURCHASE,300.37,Subscriptions,0
2025-09-27,BOOKMYSH MUMBAI,BOOKMYSH MUMBAI PURCHASE,64.26,Entertainment,0
2025-09-28,MYN251,MYN251 PURCHASE,725.11,Shopping,0
2025-09-28,INDIANOI BANGLR,INDIANOI BANGLR PURCHASE,792.62,Transport,0
2025-10-01,EMPLOYERPAYROLL,EMPLOYERPAYROLL PURCHASE,31169.12,Income,0
2025-10-01,SHAPRO666,SHAPRO666 PURCHASE,17777.75,Rent,0
2025-10-01,BIGBASKET,BIGBASKET PURCHASE,1199.99,Groceries,0
2025-10-01,NATURE'S BASKET #5005,NATURE'S BASKET #5005 PURCHASE,821.08,Groceries,0
2025-10-03,BOO257,BOO257 PURCHASE,187.32,Entertainment,0
2025-10-03,MUNICIPAL WATER BOARD #8891,MUNICIPAL WATER BOARD #8891 PURCHASE,1948.74,Utilities,0
2025-10-04,TST* BIGBASKET,TST* BIGBASKET PURCHASE,1662.13,Groceries,0
2025-10-04,SWIGGY SC,SWIGGY SC PURCHASE,504.17,Dining,0
2025-10-05,BARBEQ SC,BARBEQ SC PURCHASE,340.36,Dining,0
2025-10-05,FLIPKART #7257,FLIPKART #7257 PURCHASE,123.19,Shopping,0
2025-10-05,IRCTC,IRCTC PURCHASE,41.41,Transport,0
2025-10-06,MYNTRA SC,MYNTRA SC PURCHASE,1596.5,Shopping,0
2025-10-07,RELIANCEFR,RELIANCEFR PURCHASE,732.67,Groceries,0
2025-10-07,SPOTIFY,SPOTIFY PURCHASE,217.54,Entertainment,0
2025-10-09,CKCD DMART,CKCD DMART PURCHASE,390.96,Groceries,0
2025-10-09,BIG889,BIG889 PURCHASE,787.85,Groceries,0
2025-10-10,MUNICI SC,MUNICI SC PURCHASE,1299.18,Utilities,0
2025-10-10,MYN846,MYN846 PURCHASE,619.38,Shopping,0
2025-10-13,OLA SC,OLA SC PURCHASE,735.33,Transport,0
2025-10-13,MAXHEALT 0210,MAXHEALT 0210 PURCHASE,66.39,Healthcare,0
2025-10-14,SWIGGY #5220,SWIGGY #5220 PURCHASE,367.77,Dining,0
2025-10-14,PAYPAL *UBER,PAYPAL *UBER PURCHASE,200.39,Transport,0
2025-10-14,EMPLOYER 0210,EMPLOYER 0210 PURCHASE,36401.48,Income,0
2025-10-14,CULMEM235,CULMEM235 PURCHASE,142.94,Subscriptions,0
2025-10-15,ZOMATO SC,ZOMATO SC PURCHASE,448.54,Dining,0
2025-10-16,RELIANCE PUNE MH,RELIANCE PUNE MH PURCHASE,905.54,Groceries,0
2025-10-18,PAYPAL *INDIANOIL,PAYPAL *INDIANOIL PURCHASE,449.64,Transport,0
2025-10-19,LIFESTYLE #9397,LIFESTYLE #9397 PURCHASE,1107.9,Shopping,0
2025-10-19,IRCTC,IRCTC PURCHASE,545.26,Transport,0
2025-10-20,SPOTIFY,SPOTIFY PURCHASE,231.26,Entertainment,0
2025-10-20,CAFE C SC,CAFE C SC PURCHASE,604.23,Dining,0
2025-10-23,IRCTC #4541,IRCTC #4541 PURCHASE,313.0,Transport,0
2025-10-24,AMA427,AMA427 PURCHASE,1186.22,Shopping,0
2025-10-26,FLIPKART #9365,FLIPKART #9365 PURCHASE,871.85,Shopping,0
2025-10-26,INDIAN OIL,INDIAN OIL PURCHASE,19.0,Transport,0
2025-10-27,RELIANCEFRESH,RELIANCEFRESH PURCHASE,1063.18,Groceries,0
2025-10-27,CKCD NATURESBAS,CKCD NATURESBAS PURCHASE,941.42,Groceries,0
2025-11-01,DMART 029384,DMART 029384 PURCHASE,672.06,Groceries,0
2025-11-01,OLA,OLA PURCHASE,235.31,Transport,0
2025-11-01,SQ *LAKEVIEWRE,SQ *LAKEVIEWRE PURCHASE,17165.43,Rent,0
2025-11-01,EMPLOYER 0210,EMPLOYER 0210 PURCHASE,32949.68,Income,0
2025-11-01,NETFLI SC,NETFLI SC PURCHASE,1.0,Entertainment,0
2025-11-02,RELFRE466,RELFRE466 PURCHASE,1397.31,Groceries,0
2025-11-02,SPO526,SPO526 PURCHASE,225.58,Entertainment,0
2025-11-02,ADOBE PUNE MH,ADOBE PUNE MH PURCHASE,161.03,Subscriptions,0
2025-11-03,INDIANOI 029384,INDIANOI 029384 PURCHASE,20.21,Transport,0
2025-11-03,MYNTRA,MYNTRA PURCHASE,1.0,Shopping,0
2025-11-03,CKCD AIRTELBROA,CKCD AIRTELBROA PURCHASE,2024.22,Utilities,0
2025-11-04,CAFE C SC,CAFE C SC PURCHASE,444.73,Dining,0
2025-11-05,POS DEBIT INDIANOIL,POS DEBIT INDIANOIL PURCHASE,1.0,Transport,0
2025-11-07,MEDPLUS 029384,MEDPLUS 029384 PURCHASE,689.57,Healthcare,0
2025-11-08,CKCD BIGBASKET,CKCD BIGBASKET PURCHASE,1105.76,Groceries,0
2025-11-08,SWIGGY MUMBAI,SWIGGY MUMBAI PURCHASE,360.87,Dining,0
2025-11-08,NETFLIX,NETFLIX PURCHASE,423.24,Entertainment,0
2025-11-08,OLA542,OLA542 PURCHASE,179.06,Transport,0
2025-11-09,CAFECOFF 0210,CAFECOFF 0210 PURCHASE,805.15,Dining,0
2025-11-10,DMART SC,DMART SC PURCHASE,987.72,Groceries,0
2025-11-11,AIRBRO881,AIRBRO881 PURCHASE,1760.08,Utilities,0
2025-11-11,PAYPAL *RELIANCEFR,PAYPAL *RELIANCEFR PURCHASE,479.86,Groceries,0
2025-11-12,ZOMATO,ZOMATO PURCHASE,281.36,Dining,0
2025-11-13,BIGBASKET #7811,BIGBASKET #7811 PURCHASE,371.99,Groceries,0
2025-11-14,EMPLOYER PUNE MH,EMPLOYER PUNE MH PURCHASE,34662.85,Income,0
2025-11-14,TST* SWIGGY,TST* SWIGGY PURCHASE,441.54,Dining,0
2025-11-16,MAXHEALT BANGLR,MAXHEALT BANGLR PURCHASE,1145.66,Healthcare,0
2025-11-17,SQ *IRCTC,SQ *IRCTC PURCHASE,646.78,Transport,0
2025-11-18,CAFE COFFEE DAY #5500,CAFE COFFEE DAY #5500 PURCHASE,363.93,Dining,0
2025-11-19,IRC402,IRC402 PURCHASE,551.89,Transport,0
2025-11-21,UBER,UBER PURCHASE,398.67,Transport,0
2025-11-22,MAXHEALTHCARE,MAXHEALTHCARE PURCHASE,650.09,Healthcare,0
2025-11-23,AMA905,AMA905 PURCHASE,1684.01,Shopping,0
2025-11-23,BARBEQUE 029384,BARBEQUE 029384 PURCHASE,263.61,Dining,0
2025-11-24,DMART,DMART PURCHASE,1027.18,Groceries,0
2025-11-24,DMART SC,DMART SC PURCHASE,803.2,Groceries,0
2025-11-27,CAFECOFF 029384,CAFECOFF 029384 PURCHASE,431.25,Dining,0
2025-11-28,DOMINO'S #942,DOMINO'S #942 PURCHASE,546.7,Dining,0
2025-12-01,AMAZON,AMAZON PURCHASE,2816.49,Shopping,0
2025-12-01,EMPLOYER PAYROLL #9146,EMPLOYER PAYROLL #9146 PURCHASE,33244.83,Income,0
2025-12-01,SHANTIPROPERTIES,SHANTIPROPERTIES PURCHASE,17614.09,Rent,0
2025-12-02,SWIGGY BANGLR,SWIGGY BANGLR PURCHASE,1.0,Dining,0
2025-12-03,APOLLO SC,APOLLO SC PURCHASE,799.85,Healthcare,0
2025-12-03,CAFE COFFEE DAY #3624,CAFE COFFEE DAY #3624 PURCHASE,545.26,Dining,0
2025-12-03,SWIGGY,SWIGGY PURCHASE,506.8,Dining,0
2025-12-03,OLA SC,OLA SC PURCHASE,524.93,Transport,0
2025-12-05,PVR CI SC,PVR CI SC PURCHASE,1.0,Entertainment,0
2025-12-05,OLA SC,OLA SC PURCHASE,70.16,Transport,0
2025-12-06,NETFLIX #6909,NETFLIX #6909 PURCHASE,390.17,Entertainment,0
2025-12-06,LIFESTYLE #1307,LIFESTYLE #1307 PURCHASE,1692.57,Shopping,0
2025-12-06,BARBEQUENA,BARBEQUENA PURCHASE,59.43,Dining,0
2025-12-08,BOOKMYSHOW,BOOKMYSHOW PURCHASE,397.8,Entertainment,0
2025-12-08,BSES E SC,BSES E SC PURCHASE,1481.77,Utilities,0
2025-12-09,AMAZON,AMAZON PURCHASE,2235.19,Shopping,0
2025-12-09,BARNAT107,BARNAT107 PURCHASE,422.5,Dining,0
2025-12-09,SQ *CULT.FITME,SQ *CULT.FITME PURCHASE,333.85,Subscriptions,0
2025-12-10,SQ *BARBEQUENA,SQ *BARBEQUENA PURCHASE,721.99,Dining,0
2025-12-10,IRC357,IRC357 PURCHASE,1.0,Transport,0
2025-12-10,NATURE SC,NATURE SC PURCHASE,367.07,Groceries,0
2025-12-11,BOOKMYSHOW,BOOKMYSHOW PURCHASE,435.25,Entertainment,0
2025-12-11,NATBAS968,NATBAS968 PURCHASE,1073.64,Groceries,0
2025-12-12,CULT.FITMEMBERSHIP,CULT.FITMEMBERSHIP PURCHASE,499.3,Subscriptions,0
2025-12-12,NETFLIX,NETFLIX PURCHASE,317.88,Entertainment,0
2025-12-12,PAYPAL *DOMINOS,PAYPAL *DOMINOS PURCHASE,556.52,Dining,0
2025-12-13,NATURESBASKET,NATURESBASKET PURCHASE,879.61,Groceries,0
2025-12-14,EMPPAY748,EMPPAY748 PURCHASE,32297.03,Income,0
2025-12-14,LIFESTYLE,LIFESTYLE PURCHASE,3267.0,Shopping,0
2025-12-16,UBER SC,UBER SC PURCHASE,632.37,Transport,0
2025-12-16,SQ *CAFECOFFEE,SQ *CAFECOFFEE PURCHASE,1.0,Dining,0
2025-12-16,ICLOUD STORAGE,ICLOUD STORAGE PURCHASE,249.39,Subscriptions,0
2025-12-17,NATBAS541,NATBAS541 PURCHASE,890.96,Groceries,0
2025-12-19,DMART,DMART PURCHASE,864.62,Groceries,0
2025-12-19,RELIANCE FRESH #726,RELIANCE FRESH #726 PURCHASE,1257.5,Groceries,0
2025-12-19,CULT.FIT PUNE MH,CULT.FIT PUNE MH PURCHASE,288.86,Subscriptions,0
2025-12-20,MUNWATBO782,MUNWATBO782 PURCHASE,1597.34,Utilities,0
2025-12-20,DOMINO'S,DOMINO'S PURCHASE,78.99,Dining,0
2025-12-20,BOOKMYSH 029384,BOOKMYSH 029384 PURCHASE,124.04,Entertainment,0
2025-12-21,BSESELEC 029384,BSESELEC 029384 PURCHASE,1460.33,Utilities,0
2025-12-21,IRCTC,IRCTC PURCHASE,686.03,Transport,0
2025-12-22,SWIGGY SC,SWIGGY SC PURCHASE,318.46,Dining,0
2025-12-22,IRCTC #2877,IRCTC #2877 PURCHASE,128.05,Transport,0
2025-12-22,DOMINO'S,DOMINO'S PURCHASE,327.81,Dining,0
2025-12-23,RELFRE296,RELFRE296 PURCHASE,337.84,Groceries,0
2025-12-24,MED796,MED796 PURCHASE,428.24,Healthcare,0
2025-12-24,RELIAN SC,RELIAN SC PURCHASE,237.38,Groceries,0
2025-12-25,INDIANOIL,INDIANOIL PURCHASE,533.15,Transport,0
2025-12-26,MEDPLU SC,MEDPLU SC PURCHASE,81.45,Healthcare,0
2025-12-27,LIFESTYLE,LIFESTYLE PURCHASE,3257.41,Shopping,0
2025-12-28,SQ *APOLLOPHAR,SQ *APOLLOPHAR PURCHASE,1059.77,Healthcare,0
2026-01-01,LAKEVI SC,LAKEVI SC PURCHASE,18830.65,Rent,0
2026-01-01,EMPLOYERPAYROLL,EMPLOYERPAYROLL PURCHASE,35812.19,Income,0
2026-01-01,BSESELEC 0210,BSESELEC 0210 PURCHASE,1408.24,Utilities,0
2026-01-01,TST* RELIANCEFR,TST* RELIANCEFR PURCHASE,549.98,Groceries,0
2026-01-04,DOMINO SC,DOMINO SC PURCHASE,335.28,Dining,0
2026-01-04,ICLSTO454,ICLSTO454 PURCHASE,306.84,Subscriptions,0
2026-01-05,OLA SC,OLA SC PURCHASE,507.4,Transport,0
2026-01-06,CAFECOFF BANGLR,CAFECOFF BANGLR PURCHASE,405.13,Dining,0
2026-01-06,AMAZON SC,AMAZON SC PURCHASE,487.47,Shopping,0
2026-01-07,IRC170,IRC170 PURCHASE,663.29,Transport,0
2026-01-07,SQ *SPOTIFY,SQ *SPOTIFY PURCHASE,25.63,Entertainment,0
2026-01-07,MORSUP349,MORSUP349 PURCHASE,1075.48,Groceries,0
2026-01-10,BARBEQUE NATION,BARBEQUE NATION PURCHASE,130.53,Dining,0
2026-01-10,DMART,DMART PURCHASE,1029.79,Groceries,0
2026-01-11,UBE398,UBE398 PURCHASE,451.92,Transport,0
2026-01-13,DMART 0210,DMART 0210 PURCHASE,902.58,Groceries,0
2026-01-14,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,36138.73,Income,0
2026-01-14,ZOMATO,ZOMATO PURCHASE,498.39,Dining,0
2026-01-14,SQ *SWIGGY,SQ *SWIGGY PURCHASE,490.05,Dining,0
2026-01-14,CAFE COFFEE DAY #6726,CAFE COFFEE DAY #6726 PURCHASE,323.54,Dining,0
2026-01-14,CAFECOFF PUNE MH,CAFECOFF PUNE MH PURCHASE,409.1,Dining,0
2026-01-16,UBER,UBER PURCHASE,390.11,Transport,0
2026-01-16,PVRCINEMAS,PVRCINEMAS PURCHASE,244.79,Entertainment,0
2026-01-16,AMAZON SC,AMAZON SC PURCHASE,929.03,Shopping,0
2026-01-16,POS DEBIT NATURESBAS,POS DEBIT NATURESBAS PURCHASE,458.86,Groceries,0
2026-01-17,SWIGGY #8793,SWIGGY #8793 PURCHASE,418.18,Dining,0
2026-01-17,MORESUPERM,MORESUPERM PURCHASE,965.84,Groceries,0
2026-01-17,CAFE COFFEE DAY,CAFE COFFEE DAY PURCHASE,645.33,Dining,0
2026-01-18,UBE844,UBE844 PURCHASE,129.74,Transport,0
2026-01-18,INDIANOIL,INDIANOIL PURCHASE,407.44,Transport,0
2026-01-19,MAX HEALTHCARE,MAX HEALTHCARE PURCHASE,479.64,Healthcare,0
2026-01-19,IRCTC SC,IRCTC SC PURCHASE,407.08,Transport,0
2026-01-21,IRCTC #9535,IRCTC #9535 PURCHASE,467.89,Transport,0
2026-01-21,ICLOUD STORAGE,ICLOUD STORAGE PURCHASE,309.96,Subscriptions,0
2026-01-21,INDIAN OIL #1891,INDIAN OIL #1891 PURCHASE,634.57,Transport,0
2026-01-21,DOMINO SC,DOMINO SC PURCHASE,405.74,Dining,0
2026-01-21,RELIANCEFRESH,RELIANCEFRESH PURCHASE,1453.02,Groceries,0
2026-01-22,CAFE C SC,CAFE C SC PURCHASE,1.0,Dining,0
2026-01-22,NATBAS938,NATBAS938 PURCHASE,383.04,Groceries,0
2026-01-23,IRCTC SC,IRCTC SC PURCHASE,570.38,Transport,0
2026-01-23,BIGBASKE BANGLR,BIGBASKE BANGLR PURCHASE,1205.51,Groceries,0
2026-01-24,SQ *AMAZON,SQ *AMAZON PURCHASE,1679.24,Shopping,0
2026-01-24,ZOMATO,ZOMATO PURCHASE,332.72,Dining,0
2026-01-24,BSEELE824,BSEELE824 PURCHASE,1529.68,Utilities,0
2026-01-25,BOOKMYSHOW #8263,BOOKMYSHOW #8263 PURCHASE,217.45,Entertainment,0
2026-01-25,CULMEM678,CULMEM678 PURCHASE,206.14,Subscriptions,0
2026-01-26,PAYPAL *OLA,PAYPAL *OLA PURCHASE,343.44,Transport,0
2026-01-27,NETFLI SC,NETFLI SC PURCHASE,3190.61,Entertainment,1
2026-01-27,BARBEQUENATION,BARBEQUENATION PURCHASE,293.56,Dining,0
2026-01-27,SQ *IRCTC,SQ *IRCTC PURCHASE,80.81,Transport,0
2026-01-28,CKCD ICLOUDSTOR,CKCD ICLOUDSTOR PURCHASE,366.63,Subscriptions,0
2026-01-28,MAX HEALTHCARE,MAX HEALTHCARE PURCHASE,312.64,Healthcare,0
2026-02-01,SHANTI PROPERTIES,SHANTI PROPERTIES PURCHASE,17832.88,Rent,0
2026-02-01,EMPLOY SC,EMPLOY SC PURCHASE,34135.23,Income,0
2026-02-02,BARBEQ SC,BARBEQ SC PURCHASE,401.88,Dining,0
2026-02-02,SWIGGY 029384,SWIGGY 029384 PURCHASE,410.47,Dining,0
2026-02-02,BOOKMY SC,BOOKMY SC PURCHASE,230.78,Entertainment,0
2026-02-03,DOMINOS,DOMINOS PURCHASE,169.74,Dining,0
2026-02-04,POS DEBIT MORESUPERM,POS DEBIT MORESUPERM PURCHASE,896.84,Groceries,0
2026-02-05,SPOTIF SC,SPOTIF SC PURCHASE,145.13,Entertainment,0
2026-02-06,INDIAN SC,INDIAN SC PURCHASE,270.99,Transport,0
2026-02-08,UBER PUNE MH,UBER PUNE MH PURCHASE,719.48,Transport,0
2026-02-08,DOMINOS,DOMINOS PURCHASE,76.28,Dining,0
2026-02-09,DMART,DMART PURCHASE,1308.74,Groceries,0
2026-02-09,MORE SUPERMARKET #1369,MORE SUPERMARKET #1369 PURCHASE,707.37,Groceries,0
2026-02-11,MAX HEALTHCARE,MAX HEALTHCARE PURCHASE,1458.06,Healthcare,0
2026-02-11,RELIANCEFRESH,RELIANCEFRESH PURCHASE,1752.06,Groceries,0
2026-02-13,DMART #3605,DMART #3605 PURCHASE,1018.98,Groceries,0
2026-02-13,LIFEST SC,LIFEST SC PURCHASE,851.57,Shopping,0
2026-02-14,EMPLOYERPAYROLL,EMPLOYERPAYROLL PURCHASE,31113.44,Income,0
2026-02-14,NATURE SC,NATURE SC PURCHASE,804.55,Groceries,0
2026-02-15,APOLLO SC,APOLLO SC PURCHASE,265.86,Healthcare,0
2026-02-16,AIRTELBR PUNE MH,AIRTELBR PUNE MH PURCHASE,1679.08,Utilities,0
2026-02-17,BSES ELECTRICITY,BSES ELECTRICITY PURCHASE,1727.91,Utilities,0
2026-02-17,NET945,NET945 PURCHASE,481.13,Entertainment,0
2026-02-18,SWIGGY #7468,SWIGGY #7468 PURCHASE,412.49,Dining,0
2026-02-18,MORE S SC,MORE S SC PURCHASE,499.99,Groceries,0
2026-02-20,CKCD RELIANCEFR,CKCD RELIANCEFR PURCHASE,1089.51,Groceries,0
2026-02-20,PVRCINEM DELHI NCR,PVRCINEM DELHI NCR PURCHASE,196.16,Entertainment,0
2026-02-20,DOMINO'S,DOMINO'S PURCHASE,287.4,Dining,0
2026-02-21,ADOBE PUNE MH,ADOBE PUNE MH PURCHASE,131.21,Subscriptions,0
2026-02-22,UBER #5751,UBER #5751 PURCHASE,334.74,Transport,0
2026-02-23,NATURESB BANGLR,NATURESB BANGLR PURCHASE,512.76,Groceries,0
2026-02-23,MYNTRA,MYNTRA PURCHASE,1339.58,Shopping,0
2026-02-25,AIRTEL BROADBAND #2034,AIRTEL BROADBAND #2034 PURCHASE,1682.7,Utilities,0
2026-02-25,OLA #7152,OLA #7152 PURCHASE,139.38,Transport,0
2026-02-26,BARBEQUE NATION,BARBEQUE NATION PURCHASE,30.18,Dining,0
2026-02-27,MUNWATBO480,MUNWATBO480 PURCHASE,1637.09,Utilities,0
2026-02-28,TST* APOLLOPHAR,TST* APOLLOPHAR PURCHASE,957.97,Healthcare,0
2026-02-28,CKCD SWIGGY,CKCD SWIGGY PURCHASE,653.25,Dining,0
2026-03-01,LAKEVIEWRESIDENCY,LAKEVIEWRESIDENCY PURCHASE,17841.08,Rent,0
2026-03-01,EMPLOY SC,EMPLOY SC PURCHASE,34180.63,Income,0
2026-03-02,BSES E SC,BSES E SC PURCHASE,1464.11,Utilities,0
2026-03-02,CULT.F SC,CULT.F SC PURCHASE,496.49,Subscriptions,0
2026-03-02,BARBEQUENATION,BARBEQUENATION PURCHASE,383.22,Dining,0
2026-03-03,ICLSTO221,ICLSTO221 PURCHASE,184.96,Subscriptions,0
2026-03-03,MYNTRA,MYNTRA PURCHASE,983.61,Shopping,0
2026-03-04,IRCTC,IRCTC PURCHASE,666.37,Transport,0
2026-03-05,CAFECOFFEE,CAFECOFFEE PURCHASE,660.25,Dining,0
2026-03-05,SPO502,SPO502 PURCHASE,191.28,Entertainment,0
2026-03-06,ADOBE #8155,ADOBE #8155 PURCHASE,214.7,Subscriptions,0
2026-03-06,CAFE C SC,CAFE C SC PURCHASE,889.02,Dining,1
2026-03-06,POS DEBIT UBER,POS DEBIT UBER PURCHASE,309.29,Transport,0
2026-03-07,IRC498,IRC498 PURCHASE,288.62,Transport,0
2026-03-07,FLIPKART #4881,FLIPKART #4881 PURCHASE,1171.52,Shopping,0
2026-03-10,CKCD SWIGGY,CKCD SWIGGY PURCHASE,555.32,Dining,0
2026-03-10,CAFECOFF DELHI NCR,CAFECOFF DELHI NCR PURCHASE,372.97,Dining,0
2026-03-11,IRC916,IRC916 PURCHASE,974.72,Transport,0
2026-03-11,SPOTIF SC,SPOTIF SC PURCHASE,403.87,Entertainment,0
2026-03-11,IRCTC SC,IRCTC SC PURCHASE,420.57,Transport,0
2026-03-12,BARBEQUE NATION,BARBEQUE NATION PURCHASE,759.48,Dining,0
2026-03-12,SWIGGY #6040,SWIGGY #6040 PURCHASE,383.99,Dining,0
2026-03-12,BARNAT518,BARNAT518 PURCHASE,457.1,Dining,0
2026-03-12,RELFRE651,RELFRE651 PURCHASE,774.51,Groceries,0
2026-03-13,DMART,DMART PURCHASE,643.72,Groceries,0
2026-03-13,NATBAS127,NATBAS127 PURCHASE,1099.74,Groceries,0
2026-03-14,DMART SC,DMART SC PURCHASE,874.93,Groceries,0
2026-03-14,INDIAN OIL #2001,INDIAN OIL #2001 PURCHASE,433.75,Transport,0
2026-03-14,EMPLOYER PAYROLL,EMPLOYER PAYROLL PURCHASE,35587.71,Income,0
2026-03-15,MEDPLU SC,MEDPLU SC PURCHASE,853.51,Healthcare,0
2026-03-16,BIGBASKE 029384,BIGBASKE 029384 PURCHASE,269.8,Groceries,0
2026-03-17,PVR CINEMAS #842,PVR CINEMAS #842 PURCHASE,263.45,Entertainment,0
2026-03-18,NATURE SC,NATURE SC PURCHASE,503.62,Groceries,0
2026-03-19,TST* BSESELECTR,TST* BSESELECTR PURCHASE,1578.61,Utilities,0
2026-03-20,SQ *SWIGGY,SQ *SWIGGY PURCHASE,184.42,Dining,0
2026-03-21,POS DEBIT ADOBE,POS DEBIT ADOBE PURCHASE,302.97,Subscriptions,0
2026-03-22,PAYPAL *DOMINOS,PAYPAL *DOMINOS PURCHASE,289.23,Dining,0
2026-03-22,MUNICIPAL WATER BOARD,MUNICIPAL WATER BOARD PURCHASE,1783.6,Utilities,0
2026-03-25,NATURE'S BASKET,NATURE'S BASKET PURCHASE,965.63,Groceries,0
2026-03-25,DOMINO'S,DOMINO'S PURCHASE,580.65,Dining,0
2026-03-26,POS DEBIT NETFLIX,POS DEBIT NETFLIX PURCHASE,366.81,Entertainment,0
2026-03-26,INDOIL763,INDOIL763 PURCHASE,270.68,Transport,0
